문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
19940,Gold V,피자 오븐,6655,1713,1256,26.706%,https://www.acmicpc.net/problem/19940
17204,Silver III,죽음의 게임,2254,1421,1234,65.291%,https://www.acmicpc.net/problem/17204
1327,Gold IV,소트 게임,3729,1756,1229,44.675%,https://www.acmicpc.net/problem/1327
15644,Gold I,구슬 탈출 3,2542,1450,1225,59.236%,https://www.acmicpc.net/problem/15644
17073,Gold V,나무 위의 빗물,4111,1663,1204,38.222%,https://www.acmicpc.net/problem/17073
16118,Gold I,달빛 여우,8750,1884,1204,19.329%,https://www.acmicpc.net/problem/16118
13905,Gold IV,세부,5065,1720,1191,30.855%,https://www.acmicpc.net/problem/13905
15723,Silver I,n단 논법,2424,1405,1189,58.920%,https://www.acmicpc.net/problem/15723
17616,Gold III,등수 찾기,3697,1572,1171,45.724%,https://www.acmicpc.net/problem/17616
10711,Gold II,모래성,5228,1715,1168,30.834%,https://www.acmicpc.net/problem/10711
1944,Gold I,복제 로봇,6108,1795,1143,26.869%,https://www.acmicpc.net/problem/1944
13907,Platinum IV,세금,8322,2092,1131,19.790%,https://www.acmicpc.net/problem/13907
17265,Gold V,나의 인생에는 수학과 함께,2530,1341,1101,52.304%,https://www.acmicpc.net/problem/17265
8111,Platinum V,0과 1,2664,1499,1092,57.443%,https://www.acmicpc.net/problem/8111
14950,Gold IV,정복자,2239,1321,1079,57.516%,https://www.acmicpc.net/problem/14950
22352,Gold V,항체 인식,3578,1251,1075,36.740%,https://www.acmicpc.net/problem/22352
9177,Gold IV,단어 섞기,5284,1498,1068,28.571%,https://www.acmicpc.net/problem/9177
2307,Gold I,도로검문,4140,1551,1056,36.769%,https://www.acmicpc.net/problem/2307
13308,Platinum V,주유소,6068,1671,1049,24.893%,https://www.acmicpc.net/problem/13308
17244,Gold II,아맞다우산,3267,1429,1048,41.571%,https://www.acmicpc.net/problem/17244
4792,Platinum III,레드 블루 스패닝 트리,3505,1375,1048,39.562%,https://www.acmicpc.net/problem/4792
14942,Platinum V,개미,2767,1379,1044,48.378%,https://www.acmicpc.net/problem/14942
1533,Platinum III,길의 개수,3318,1283,1032,37.844%,https://www.acmicpc.net/problem/1533
17129,Silver I,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유,3413,1298,1030,38.912%,https://www.acmicpc.net/problem/17129
1800,Gold I,인터넷 설치,4110,1449,1015,34.152%,https://www.acmicpc.net/problem/1800
17835,Gold II,면접보는 승범이네,5041,1390,1014,25.062%,https://www.acmicpc.net/problem/17835
2479,Gold IV,경로 찾기,3518,1376,1009,38.689%,https://www.acmicpc.net/problem/2479
24481,Silver II,알고리즘 수업 - 깊이 우선 탐색 3,2661,1131,1005,43.338%,https://www.acmicpc.net/problem/24481
20166,Gold IV,문자열 지옥에 빠진 호석,3792,1454,1004,36.245%,https://www.acmicpc.net/problem/20166
14268,Platinum III,회사 문화 2,2632,1309,983,50.906%,https://www.acmicpc.net/problem/14268
22856,Gold IV,트리 순회,4185,1342,956,30.563%,https://www.acmicpc.net/problem/22856
2780,Silver I,비밀번호,2773,1176,954,43.502%,https://www.acmicpc.net/problem/2780
15886,Silver III,내 선물을 받아줘 2,1651,1137,949,68.868%,https://www.acmicpc.net/problem/15886
1445,Gold II,일요일 아침의 데이트,4764,1373,946,25.791%,https://www.acmicpc.net/problem/1445
20955,Gold IV,민서의 응급 수술,3153,1218,933,37.068%,https://www.acmicpc.net/problem/20955
18500,Gold I,미네랄 2,3361,1158,928,35.583%,https://www.acmicpc.net/problem/18500
7511,Gold V,소셜 네트워킹 어플리케이션,2845,1143,914,39.329%,https://www.acmicpc.net/problem/7511
2585,Gold II,경비행기,3814,1356,911,32.805%,https://www.acmicpc.net/problem/2585
19538,Gold IV,루머,2999,1255,900,40.891%,https://www.acmicpc.net/problem/19538
1738,Gold I,골목길,8059,1474,895,17.893%,https://www.acmicpc.net/problem/1738
24482,Silver II,알고리즘 수업 - 깊이 우선 탐색 4,1702,964,882,62.420%,https://www.acmicpc.net/problem/24482
14238,Gold II,출근 기록,3727,1193,873,32.894%,https://www.acmicpc.net/problem/14238
1486,Gold II,등산,4896,1417,872,25.572%,https://www.acmicpc.net/problem/1486
18404,Silver I,현명한 나이트,2199,1090,870,47.257%,https://www.acmicpc.net/problem/18404
24446,Silver II,알고리즘 수업 - 너비 우선 탐색 3,1802,1003,856,54.557%,https://www.acmicpc.net/problem/24446
21276,Gold II,계보 복원가 호석,2292,1107,853,48.165%,https://www.acmicpc.net/problem/21276
